-999	WindowSize
-999	OverlapSize
131178	NumberOfSNPs
480	NumberOfIndividuals
SET#	OFFSET	SET_ID	SET_SIZE
250	181209	B0284.2	3
251	181600	B0284.3	3
252	181991	B0284.4	6
253	182772	B0285.1	20
254	185373	B0285.10	6
255	186154	B0285.12	2
256	186415	B0285.15	1
257	186546	B0285.3	1
258	186677	B0285.4	4
259	187198	B0285.5	5
260	187849	B0285.6	12
261	189410	B0285.7	16
262	191491	B0285.8	2
263	191752	B0285.9	8
264	192793	B0285.t1	1
265	192924	B0286.1	14
266	194745	B0286.2	13
267	196436	B0286.3	6
268	197217	B0286.4	8
269	198258	B0286.5	6
270	199039	B0286.6	7
271	199950	B0286.7	1
272	200081	B0294.1	2
273	200342	B0294.3	3
274	200733	B0302.1	19
275	203204	B0302.2	2
276	203465	B0302.4	1
277	203596	B0302.5	4
278	204117	B0302.7	1
279	204248	B0303.11	7
280	205159	B0303.14	8
281	206200	B0303.15	2
282	206461	B0303.16	2
283	206722	B0303.2	1
284	206853	B0303.3	6
285	207634	B0303.4	9
286	208805	B0303.7	5
287	209456	B0303.8	1
288	209587	B0303.9	1
289	209718	B0304.1	11
290	211149	B0304.2	3
291	211540	B0304.3	7
292	212451	B0304.4	2
293	212712	B0304.5	2
294	212973	B0304.6	1
295	213104	B0304.7	2
296	213365	B0304.8	6
297	214146	B0304.9	3
298	214537	B0310.1	7
299	215448	B0310.2	8
300	216489	B0310.3	11
301	217920	B0310.5	6
302	218701	B0331.1	9
303	219872	B0331.2	7
304	220783	B0334.1	2
305	221044	B0334.10	3
306	221435	B0334.11	1
307	221566	B0334.13	6
308	222347	B0334.15	3
309	222738	B0334.2	3
310	223129	B0334.20	2
311	223390	B0334.3	14
312	225211	B0334.4	2
313	225472	B0334.5	5
314	226123	B0334.6	8
315	227164	B0334.7	7
316	228075	B0334.8	11
317	229506	B0336.1	14
318	231327	B0336.11	3
319	231718	B0336.13	2
320	231979	B0336.16	1
321	232110	B0336.2	1
322	232241	B0336.3	12
323	233802	B0336.4	5
324	234453	B0336.5	5
325	235104	B0336.6	7
326	236015	B0336.7	4
327	236536	B0336.8	2
328	236797	B0336.9	10
329	238098	B0344.2	44
330	243819	B0348.1	1
331	243950	B0348.2	5
332	244601	B0348.4	49
333	250972	B0348.5	3
334	251363	B0348.6	2
335	251624	B0350.2	74
336	261245	B0350.34	1
337	261376	B0350.50	1
338	261507	B0350.65	1
339	261638	B0350.70	1
340	261769	B0350.72	1
341	261900	B0350.73	1
342	262031	B0350.74	2
343	262292	B0350.78	1
344	262423	B0350.82	1
345	262554	B0350.84	1
346	262685	B0350.t1	1
347	262816	B0353.1	30
348	266717	B0353.2	1
349	266848	B0361.10	2
350	267109	B0361.11	5
351	267760	B0361.2	22
352	270621	B0361.3	5
353	271272	B0361.4	17
354	273483	B0361.5	9
355	274654	B0361.6	3
356	275045	B0361.7	3
357	275436	B0361.8	6
358	276217	B0361.9	3
359	276608	B0365.1	11
360	278039	B0365.3	7
361	278950	B0365.5	2
362	279211	B0365.6	6
363	279992	B0365.7	31
364	284023	B0365.9	3
365	284414	B0379.2	3
366	284805	B0379.3	12
367	286366	B0379.4	32
368	290527	B0379.7	5
369	291178	B0379.9	4
370	291699	B0391.11	2
371	291960	B0391.3	5
372	292611	B0391.4	7
373	293522	B0391.5	16
374	295603	B0391.6	1
375	295734	B0391.9	2
376	295995	B0393.1	1
377	296126	B0393.10	1
378	296257	B0393.2	8
379	297298	B0393.3	5
380	297949	B0393.4	5
381	298600	B0393.5	21
382	301331	B0393.6	4
383	301852	B0393.7	3
384	302243	B0393.9	4
385	302764	B0395.1	12
386	304325	B0395.2	6
387	305106	B0395.3	17
388	307317	B0395.t1	1
389	307448	B0399.1	103
390	320839	B0399.2	14
391	322660	B0403.12	1
392	322791	B0403.2	19
393	325262	B0403.3	3
394	325653	B0403.4	9
395	326824	B0403.5	14
396	328645	B0403.6	7
397	329556	B0410.1	1
398	329687	B0410.2	14
399	331508	B0410.3	3
400	331899	B0410.4	1
401	332030	B0412.1	18
402	334371	B0412.2	5
403	335022	B0412.3	33
404	339313	B0412.4	1
405	339444	B0412.6	1
406	339575	B0412.7	1
407	339706	B0414.1	1
408	339837	B0414.11	1
409	339968	B0414.2	18
410	342309	B0414.3	3
411	342700	B0414.5	8
412	343741	B0414.6	3
413	344132	B0414.7	9
414	345303	B0414.8	2
415	345564	B0416.1	16
416	347645	B0416.10	3
417	348036	B0416.11	2
418	348297	B0416.3	2
419	348558	B0416.4	3
420	348949	B0416.5	4
421	349470	B0416.6	7
422	350381	B0416.7	2
423	350642	B0432.1	7
424	351553	B0432.10	4
425	352074	B0432.12	3
426	352465	B0432.13	12
427	354026	B0432.14	3
428	354417	B0432.2	2
429	354678	B0432.4	2
430	354939	B0432.5	7
431	355850	B0432.6	6
432	356631	B0432.7	11
433	358062	B0432.8	6
434	358843	B0432.9	6
435	359624	B0454.1	6
436	360405	B0454.10	6
437	361186	B0454.2	2
438	361447	B0454.24	2
439	361708	B0454.26	7
440	362619	B0454.3	4
441	363140	B0454.4	6
442	363921	B0454.5	3
443	364312	B0454.6	8
444	365353	B0454.7	3
445	365744	B0454.8	7
446	366655	B0454.9	6
447	367436	B0457.1	22
448	370297	B0457.16	1
449	370428	B0457.19	1
450	370559	B0457.2	3
451	370950	B0457.4	2
452	371211	B0457.6	6
453	371992	B0457.8	1
454	372123	B0462.1	14
455	373944	B0462.3	3
456	374335	B0462.4	6
457	375116	B0464.1	2
458	375377	B0464.2	13
459	377068	B0464.3	3
460	377459	B0464.4	25
461	380710	B0464.5	13
462	382401	B0464.6	2
463	382662	B0464.7	1
464	382793	B0464.8	9
465	383964	B0464.9	2
466	384225	B0478.1	3
467	384616	B0478.3	1
468	384747	B0478.8	1
469	384878	B0491.1	3
470	385269	B0491.2	4
471	385790	B0491.3	4
472	386311	B0491.4	7
473	387222	B0491.5	1
474	387353	B0491.6	5
475	388004	B0491.7	1
476	388135	B0491.8	20
477	390736	B0491.9	2
478	390997	B0491.t2	1
479	391128	B0495.1	4
480	391649	B0495.10	9
481	392820	B0495.12	1
482	392951	B0495.16	1
483	393082	B0495.18	1
484	393213	B0495.2	5
485	393864	B0495.4	6
486	394645	B0495.5	6
487	395426	B0495.6	2
488	395687	B0495.7	2
489	395948	B0495.8	2
490	396209	B0495.9	4
491	396730	B0496.1	3
492	397121	B0496.16	1
493	397252	B0496.2	1
494	397383	B0496.3	32
495	401544	B0496.5	1
496	401675	B0496.6	3
497	402066	B0496.7	1
498	402197	B0496.8	5
499	402848	B0507.1	8
500	403889	B0507.10	6
501	404670	B0507.11	5
502	405321	B0507.2	5
503	405972	B0507.3	2
504	406233	B0507.4	1
505	406364	B0507.5	4
506	406885	B0507.6	13
507	408576	B0507.7	2
508	408837	B0507.8	7
509	409748	B0507.9	6
510	410529	B0511.1	1
511	410660	B0511.10	2
512	410921	B0511.11	8
513	411962	B0511.12	26
514	415343	B0511.13	7
515	416254	B0511.2	2
516	416515	B0511.3	4
517	417036	B0511.4	2
518	417297	B0511.5	6
519	418078	B0511.6	6
520	418859	B0511.7	4
521	419380	B0511.8	6
522	420161	B0511.9	3
523	420552	B0513.1	11
524	421983	B0513.2	1
525	422114	B0513.3	2
526	422375	B0513.4	4
527	422896	B0513.5	9
528	424067	B0513.54	1
529	424198	B0513.59	1
530	424329	B0513.6	1
531	424460	B0513.9	9
532	425631	B0523.1	7
533	426542	B0523.3	5
534	427193	B0523.5	17
535	429404	B0524.2	12
536	430965	B0524.3	4
537	431486	B0524.4	7
538	432397	B0524.5	3
539	432788	B0524.6	5
540	433439	B0545.1	39
541	438510	B0545.3	5
542	439161	B0545.4	2
543	439422	B0546.1	4
544	439943	B0546.2	8
545	440984	B0546.3	11
546	442415	B0546.4	1
547	442546	B0546.5	2
548	442807	B0547.1	5
549	443458	B0547.23	1
550	443589	B0547.4	4
551	444110	B0554.1	1
552	444241	B0554.2	4
553	444762	B0554.4	4
554	445283	B0554.5	9
555	446454	B0554.6	3
556	446845	B0554.7	13
557	448536	B0563.1	3
558	448927	B0563.10	1
559	449058	B0563.17	1
560	449189	B0563.18	1
561	449320	B0563.2	7
562	450231	B0563.4	19
563	452702	B0563.5	1
564	452833	B0563.6	17
565	455044	B0563.7	3
566	455435	B0563.8	1
567	455566	B0563.9	1
568	455697	B0564.1	7
569	456608	B0564.10	12
570	458169	B0564.11	3
571	458560	B0564.2	6
572	459341	B0564.3	3
573	459732	B0564.4	2
574	459993	B0564.7	8
575	461034	BE0003N10.1	21
576	463765	BE0003N10.2	16
577	465846	BE0003N10.3	31
578	469877	BE0003N10.4	1
579	470008	BE10.1	3
580	470399	BE10.2	10
581	471700	BE10.3	5
582	472351	BE10.4	8
583	473392	BE10.5	1
584	473523	BE10.7	1
585	473654	C01A2.1	6
586	474435	C01A2.10	1
587	474566	C01A2.2	2
588	474827	C01A2.3	10
589	476128	C01A2.4	1
590	476259	C01A2.5	1
591	476390	C01A2.6	13
592	478081	C01A2.7	3
593	478472	C01B10.10	6
594	479253	C01B10.11	9
595	480424	C01B10.20	1
596	480555	C01B10.3	3
597	480946	C01B10.4	2
598	481207	C01B10.44	1
599	481338	C01B10.47	1
600	481469	C01B10.5	2
601	481730	C01B10.6	9
602	482901	C01B10.7	2
603	483162	C01B10.8	4
604	483683	C01B10.9	9
605	484854	C01B12.1	5
606	485505	C01B12.2	4
607	486026	C01B12.3	6
608	486807	C01B12.4	7
609	487718	C01B12.5	3
610	488109	C01B12.9	1
611	488240	C01B4.9	1
612	488371	C01B7.1	12
613	489932	C01B7.10	3
614	490323	C01B7.3	2
615	490584	C01B7.4	8
616	491625	C01B7.5	3
617	492016	C01B7.6	23
618	495007	C01B9.1	15
619	496958	C01B9.4	14
620	498779	C01B9.6	1
621	498910	C01C10.1	4
622	499431	C01C10.2	3
623	499822	C01C10.3	8
624	500863	C01C10.4	3
625	501254	C01C4.1	5
626	501905	C01C4.2	5
627	502556	C01C4.3	19
628	505027	C01C7.1	16
629	507108	C01F1.1	5
630	507759	C01F1.2	2
631	508020	C01F1.3	11
632	509451	C01F1.4	11
633	510882	C01F1.5	6
634	511663	C01F1.6	13
635	513354	C01F4.2	37
636	518165	C01F4.4	1
637	518296	C01F4.7	1
638	518427	C01F6.1	3
639	518818	C01F6.13	1
640	518949	C01F6.2	3
641	519340	C01F6.4	5
642	519991	C01F6.6	27
643	523502	C01F6.8	1
644	523633	C01G10.1	4
645	524154	C01G10.10	6
646	524935	C01G10.11	18
647	527276	C01G10.12	3
648	527667	C01G10.14	1
649	527798	C01G10.15	2
650	528059	C01G10.16	2
651	528320	C01G10.18	1
652	528451	C01G10.2	5
653	529102	C01G10.3	3
654	529493	C01G10.6	2
655	529754	C01G10.7	3
656	530145	C01G10.8	5
657	530796	C01G10.9	6
658	531577	C01G12.1	9
659	532748	C01G12.10	1
660	532879	C01G12.13	5
661	533530	C01G12.14	2
662	533791	C01G12.16	1
663	533922	C01G12.2	3
664	534313	C01G12.3	5
665	534964	C01G12.5	2
666	535225	C01G12.6	2
667	535486	C01G12.7	2
668	535747	C01G12.8	10
669	537048	C01G12.9	1
670	537179	C01G5.2	6
671	537960	C01G5.3	4
672	538481	C01G5.4	12
673	540042	C01G5.5	4
674	540563	C01G5.6	2
675	540824	C01G5.7	1
676	540955	C01G5.8	10
677	542256	C01G5.9	6
678	543037	C01G6.1	7
679	543948	C01G6.2	3
680	544339	C01G6.3	3
681	544730	C01G6.4	1
682	544861	C01G6.5	9
683	546032	C01G6.6	10
684	547333	C01G6.7	3
685	547724	C01G6.8	27
686	551235	C01G6.9	5
687	551886	C01G8.1	5
688	552537	C01G8.2	12
689	554098	C01G8.3	4
690	554619	C01G8.4	4
691	555140	C01G8.5	12
692	556701	C01G8.6	3
693	557092	C01G8.9	18
694	559433	C01H6.1	4
695	559954	C01H6.2	9
696	561125	C01H6.3	3
697	561516	C01H6.4	4
698	562037	C01H6.5	10
699	563338	C01H6.6	4
700	563859	C01H6.7	6
701	564640	C01H6.8	10
702	565941	C01H6.9	10
703	567242	C02A12.1	3
704	567633	C02A12.10	2
705	567894	C02A12.2	5
706	568545	C02A12.3	4
707	569066	C02A12.4	4
708	569587	C02A12.5	2
709	569848	C02A12.6	6
710	570629	C02A12.9	3
711	571020	C02B10.1	6
712	571801	C02B10.2	2
713	572062	C02B10.3	15
714	574013	C02B10.32	1
715	574144	C02B10.4	1
716	574275	C02B10.5	7
717	575186	C02B10.6	2
718	575447	C02B10.7	1
719	575578	C02B4.1	27
720	579089	C02B4.11	1
721	579220	C02B4.12	1
722	579351	C02B4.13	2
723	579612	C02B4.2	18
724	581953	C02B4.3	6
725	582734	C02B4.4	1
726	582865	C02B4.6	1
727	582996	C02B4.t1	1
728	583127	C02B8.1	2
729	583388	C02B8.2	5
730	584039	C02B8.3	1
731	584170	C02B8.4	5
732	584821	C02B8.5	7
733	585732	C02B8.6	5
734	586383	C02C2.1	6
735	587164	C02C2.3	6
736	587945	C02C2.4	3
737	588336	C02C2.5	2
738	588597	C02C6.1	14
739	590418	C02C6.2	18
740	592759	C02C6.3	8
741	593800	C02C6.5	1
742	593931	C02D4.1	3
743	594322	C02D4.11	1
744	594453	C02D4.2	24
745	597574	C02D4.9	1
746	597705	C02D5.1	1
747	597836	C02D5.2	4
748	598357	C02D5.3	4
749	598878	C02D5.4	3
750	599269	C02E11.1	11
751	600700	C02E7.1	14
752	602521	C02E7.10	8
753	603562	C02E7.13	5
754	604213	C02E7.2	2
755	604474	C02E7.3	6
756	605255	C02E7.4	4
757	605776	C02E7.5	6
758	606557	C02E7.7	1
759	606688	C02E7.8	3
760	607079	C02E7.9	5
761	607730	C02F12.1	8
762	608771	C02F12.10	2
763	609032	C02F12.3	6
764	609813	C02F12.4	15
765	611764	C02F12.5	3
766	612155	C02F12.7	10
767	613456	C02F12.8	6
768	614237	C02F12.9	13
769	615928	C02F4.1	15
770	617879	C02F4.10	1
771	618010	C02F4.2	14
772	619831	C02F4.4	1
773	619962	C02F4.5	1
774	620093	C02F5.1	4
775	620614	C02F5.10	1
776	620745	C02F5.11	1
777	620876	C02F5.12	1
778	621007	C02F5.13	3
779	621398	C02F5.14	2
780	621659	C02F5.2	2
781	621920	C02F5.3	9
782	623091	C02F5.4	4
783	623612	C02F5.6	4
784	624133	C02F5.7	9
785	625304	C02F5.8	3
786	625695	C02F5.9	2
787	625956	C02G6.1	5
788	626607	C02G6.2	5
789	627258	C02G6.3	3
790	627649	C02H6.1	3
791	628040	C02H6.2	2
792	628301	C02H7.1	7
793	629212	C02H7.2	7
794	630123	C02H7.3	18
795	632464	C02H7.5	1
796	632595	C03A3.1	3
797	632986	C03A3.2	7
798	633897	C03A3.3	4
799	634418	C03A3.7	1
800	634549	C03A3.8	1
801	634680	C03A7.10	1
802	634811	C03A7.11	7
803	635722	C03A7.12	8
804	636763	C03A7.13	3
805	637154	C03A7.14	3
806	637545	C03A7.2	6
807	638326	C03A7.3	3
808	638717	C03A7.4	3
809	639108	C03A7.5	3
810	639499	C03A7.6	2
811	639760	C03A7.7	3
812	640151	C03A7.9	2
813	640412	C03B1.1	8
814	641453	C03B1.10	2
815	641714	C03B1.12	1
816	641845	C03B1.13	4
817	642366	C03B1.14	1
818	642497	C03B1.2	14
819	644318	C03B1.3	3
820	644709	C03B1.4	4
821	645230	C03B1.5	4
822	645751	C03B1.6	2
823	646012	C03B1.7	5
824	646663	C03B1.9	1
825	646794	C03B8.2	1
826	646925	C03B8.3	7
827	647836	C03B8.4	23
828	650827	C03C10.1	5
829	651478	C03C10.12	1
830	651609	C03C10.2	5
831	652260	C03C10.3	4
832	652781	C03C10.4	1
833	652912	C03C10.5	2
834	653173	C03C11.1	3
835	653564	C03C11.2	5
836	654215	C03C11.5	2
837	654476	C03C11.6	1
838	654607	C03C11.7	1
839	654738	C03D6.1	2
840	654999	C03D6.3	8
841	656040	C03D6.4	10
842	657341	C03D6.5	4
843	657862	C03D6.6	1
844	657993	C03E10.1	3
845	658384	C03E10.3	5
846	659035	C03E10.4	4
847	659556	C03E10.5	6
848	660337	C03E10.6	3
849	660728	C03E10.9	1
850	660859	C03F11.1	6
851	661640	C03F11.2	9
852	662811	C03F11.3	7
853	663722	C03F11.4	17
854	665933	C03G5.1	6
855	666714	C03G5.10	1
856	666845	C03G5.11	1
857	666976	C03G5.7	6
858	667757	C03G6.10	4
859	668278	C03G6.11	1
860	668409	C03G6.12	4
861	668930	C03G6.13	4
862	669451	C03G6.14	4
863	669972	C03G6.15	4
864	670493	C03G6.16	5
865	671144	C03G6.17	2
866	671405	C03G6.18	2
867	671666	C03G6.19	3
868	672057	C03G6.2	2
869	672318	C03G6.5	6
870	673099	C03G6.6	5
871	673750	C03G6.7	1
872	673881	C03G6.8	2
873	674142	C03G6.9	1
874	674273	C03H12.1	16
875	676354	C03H5.1	4
876	676875	C03H5.2	7
877	677786	C03H5.3	2
878	678047	C03H5.4	1
879	678178	C03H5.5	5
880	678829	C03H5.6	4
881	679350	C03H5.7	5
882	680001	C03H5.9	6
883	680782	C04A11.1	7
884	681693	C04A11.2	8
885	682734	C04A11.3	10
886	684035	C04A11.4	22
887	686896	C04A11.5	2
888	687157	C04A11.6	1
889	687288	C04A2.1	6
890	688069	C04A2.12	1
891	688200	C04A2.13	1
892	688331	C04A2.14	1
893	688462	C04A2.15	2
894	688723	C04A2.3	36
895	693404	C04A2.7	12
896	694965	C04A2.8	1
897	695096	C04A2.9	1
898	695227	C04B4.1	4
899	695748	C04B4.2	2
900	696009	C04B4.3	2
901	696270	C04B4.4	10
902	697571	C04B4.5	1
903	697702	C04C11.1	6
904	698483	C04C11.10	1
905	698614	C04C11.11	1
906	698745	C04C11.14	1
907	698876	C04C11.19	1
908	699007	C04C11.2	15
909	700958	C04C11.21	1
910	701089	C04C11.22	1
911	701220	C04C11.7	1
912	701351	C04C3.1	5
913	702002	C04C3.2	7
914	702913	C04C3.3	11
915	704344	C04C3.4	1
916	704475	C04C3.5	7
917	705386	C04C3.6	7
918	706297	C04D8.1	51
919	712928	C04D8.2	1
920	713059	C04E12.10	12
921	714620	C04E12.11	2
922	714881	C04E12.12	7
923	715792	C04E12.2	1
924	715923	C04E12.4	20
925	718524	C04E12.5	4
926	719045	C04E12.6	1
927	719176	C04E12.7	2
928	719437	C04E12.8	7
929	720348	C04E12.9	6
930	721129	C04E6.10	2
931	721390	C04E6.11	11
932	722821	C04E6.13	1
933	722952	C04E6.14	2
934	723213	C04E6.2	4
935	723734	C04E6.4	5
936	724385	C04E6.5	4
937	724906	C04E6.6	6
938	725687	C04E6.7	4
939	726208	C04E6.8	4
940	726729	C04E7.1	7
941	727640	C04E7.2	13
942	729331	C04E7.3	4
943	729852	C04E7.4	13
944	731543	C04E7.5	5
945	732194	C04F1.1	3
946	732585	C04F1.3	17
947	734796	C04F12.1	11
948	736227	C04F12.10	4
949	736748	C04F12.12	3
950	737139	C04F12.3	9
951	738310	C04F12.4	1
952	738441	C04F12.5	2
953	738702	C04F12.6	5
954	739353	C04F12.8	5
955	740004	C04F12.9	2
956	740265	C04F2.1	6
957	741046	C04F2.4	5
958	741697	C04F2.t1	1
959	741828	C04F5.1	10
960	743129	C04F5.2	10
961	744430	C04F5.3	1
962	744561	C04F5.4	6
963	745342	C04F5.5	1
964	745473	C04F5.6	3
965	745864	C04F5.7	8
966	746905	C04F5.8	1
967	747036	C04F5.9	11
968	748467	C04F6.1	11
969	749898	C04F6.3	10
970	751199	C04F6.4	8
971	752240	C04F6.5	3
972	752631	C04F6.6	1
973	752762	C04F6.7	6
974	753543	C04G2.1	1
975	753674	C04G2.10	6
976	754455	C04G2.11	2
977	754716	C04G2.2	3
978	755107	C04G2.4	1
979	755238	C04G2.5	4
980	755759	C04G2.6	25
981	759010	C04G2.7	5
982	759661	C04G2.8	5
983	760312	C04G2.9	3
984	760703	C04G6.1	9
985	761874	C04G6.10	1
986	762005	C04G6.11	2
987	762266	C04G6.13	2
988	762527	C04G6.2	3
989	762918	C04G6.3	24
990	766039	C04G6.4	6
991	766820	C04G6.5	2
992	767081	C04G6.6	1
993	767212	C04G6.7	2
994	767473	C04H4.1	2
995	767734	C04H5.1	2
996	767995	C04H5.2	1
997	768126	C04H5.3	13
998	769817	C04H5.6	21
999	772548	C04H5.8	2
1000	772809	C05A2.1	7
1001	773720	C05A9.1	14
1002	775541	C05A9.2	8
1003	776582	C05A9.3	1
1004	776713	C05A9.9	1
1005	776844	C05B10.1	8
1006	777885	C05B5.11	2
1007	778146	C05B5.14	1
1008	778277	C05B5.16	1
1009	778408	C05B5.2	4
1010	778929	C05B5.3	5
1011	779580	C05B5.4	3
1012	779971	C05B5.5	2
1013	780232	C05B5.6	10
1014	781533	C05B5.7	8
1015	782574	C05B5.8	1
1016	782705	C05C10.1	3
1017	783096	C05C10.2	16
1018	785177	C05C10.3	6
1019	785958	C05C10.4	7
1020	786869	C05C10.5	4
1021	787390	C05C10.6	3
1022	787781	C05C10.7	1
1023	787912	C05C10.8	2
1024	788173	C05C12.1	5
1025	788824	C05C12.3	11
1026	790255	C05C12.4	2
1027	790516	C05C12.5	1
1028	790647	C05C12.6	3
